<'body system', 'issue in', 'biomedical occupation or discipline'>
<'health care activity', 'affects', 'experimental model of disease'>
<'professional society', 'carries out', 'governmental or regulatory activity'>
<'cell component', 'location of', 'rickettsia or chlamydia'>
<'organic chemical', 'interacts with', 'lipid'>
<'clinical attribute', 'property of', 'organism'>
<'body part organ or organ component', 'part of', 'rickettsia or chlamydia'>
<'acquired abnormality', 'occurs in', 'age group'>
<'pharmacologic substance', 'affects', 'disease or syndrome'>
<'activity', 'issue in', 'occupation or discipline'>
<'therapeutic or preventive procedure', 'complicates', 'cell function'>
<'finding', 'manifestation of', 'congenital abnormality'>
<'chemical viewed functionally', 'affects', 'cell function'>
<'cell', 'location of', 'disease or syndrome'>
<'anatomical structure', 'part of', 'fish'>
<'clinical attribute', 'property of', 'fungus'>
<'genetic function', 'affects', 'physiologic function'>
<'steroid', 'isa', 'physical object'>
<'laboratory or test result', 'measurement of', 'body substance'>
<'anatomical abnormality', 'manifestation of', 'disease or syndrome'>
<'pathologic function', 'affects', 'archaeon'>
<'pathologic function', 'process of', 'mental process'>
<'organophosphorus compound', 'interacts with', 'enzyme'>
<'receptor', 'disrupts', 'cell component'>
<'conceptual entity', 'isa', 'entity'>
<'immunologic factor', 'disrupts', 'fully formed anatomical structure'>
<'organism function', 'precedes', 'mental process'>
<'fungus', 'interacts with', 'bird'>
<'diagnostic procedure', 'measures', 'body substance'>
<'pharmacologic substance', 'disrupts', 'embryonic structure'>
<'cell', 'isa', 'physical object'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'eicosanoid'>
<'carbohydrate sequence', 'isa', 'spatial concept'>
<'disease or syndrome', 'complicates', 'pathologic function'>
<'geographic area', 'associated with', 'anatomical abnormality'>
<'biomedical or dental material', 'affects', 'neoplastic process'>
<'diagnostic procedure', 'measures', 'experimental model of disease'>
<'fish', 'issue in', 'biomedical occupation or discipline'>
<'cell or molecular dysfunction', 'produces', 'biologically active substance'>
<'human caused phenomenon or process', 'result of', 'natural phenomenon or process'>
<'lipid', 'interacts with', 'biomedical or dental material'>
<'natural phenomenon or process', 'result of', 'mental process'>
<'hormone', 'complicates', 'molecular function'>
<'anatomical abnormality', 'result of', 'phenomenon or process'>
<'therapeutic or preventive procedure', 'isa', 'health care activity'>
<'genetic function', 'process of', 'reptile'>
<'research activity', 'associated with', 'injury or poisoning'>
<'chemical viewed structurally', 'affects', 'organ or tissue function'>
<'food', 'causes', 'injury or poisoning'>
<'eicosanoid', 'issue in', 'biomedical occupation or discipline'>
<'alga', 'isa', 'organism'>
<'inorganic chemical', 'causes', 'disease or syndrome'>
<'group attribute', 'property of', 'group'>
<'congenital abnormality', 'part of', 'fish'>
<'cell function', 'produces', 'enzyme'>
<'body system', 'conceptual part of', 'fully formed anatomical structure'>
<'eicosanoid', 'causes', 'acquired abnormality'>
<'biologically active substance', 'affects', 'biologic function'>
<'cell', 'produces', 'organic chemical'>
<'cell or molecular dysfunction', 'result of', 'experimental model of disease'>
<'sign or symptom', 'evaluation of', 'physiologic function'>
<'mental process', 'process of', 'organism function'>
<'diagnostic procedure', 'assesses effect of', 'chemical viewed structurally'>
<'environmental effect of humans', 'result of', 'mental or behavioral dysfunction'>
<'chemical viewed structurally', 'interacts with', 'antibiotic'>
<'neoplastic process', 'result of', 'physiologic function'>
<'organic chemical', 'isa', 'chemical viewed structurally'>
<'physiologic function', 'isa', 'phenomenon or process'>
<'vertebrate', 'interacts with', 'organism'>
<'molecular function', 'process of', 'organism'>
<'experimental model of disease', 'affects', 'mental or behavioral dysfunction'>
<'organophosphorus compound', 'issue in', 'biomedical occupation or discipline'>
<'hazardous or poisonous substance', 'complicates', 'molecular function'>
<'chemical viewed functionally', 'causes', 'injury or poisoning'>
<'laboratory or test result', 'evaluation of', 'physiologic function'>
<'research activity', 'affects', 'mental process'>
<'carbohydrate', 'interacts with', 'enzyme'>
<'neoplastic process', 'co-occurs with', 'cell or molecular dysfunction'>
<'molecular function', 'process of', 'fungus'>
<'organ or tissue function', 'affects', 'animal'>
<'receptor', 'disrupts', 'tissue'>
<'organism function', 'process of', 'cell or molecular dysfunction'>
<'medical device', 'treats', 'disease or syndrome'>
<'physiologic function', 'result of', 'pathologic function'>
<'cell component', 'produces', 'organic chemical'>
<'family group', 'performs', 'machine activity'>
<'anatomical abnormality', 'occurs in', 'group'>
<'bacterium', 'issue in', 'biomedical occupation or discipline'>
<'diagnostic procedure', 'issue in', 'biomedical occupation or discipline'>
<'patient or disabled group', 'produces', 'drug delivery device'>
<'injury or poisoning', 'result of', 'health care activity'>
<'cell or molecular dysfunction', 'produces', 'hormone'>
<'element ion or isotope', 'interacts with', 'vitamin'>
<'age group', 'uses', 'drug delivery device'>
<'group', 'produces', 'intellectual product'>
<'cell or molecular dysfunction', 'affects', 'neoplastic process'>
<'pathologic function', 'process of', 'disease or syndrome'>
<'social behavior', 'associated with', 'group attribute'>
<'experimental model of disease', 'occurs in', 'injury or poisoning'>
<'fungus', 'interacts with', 'bacterium'>
<'sign or symptom', 'associated with', 'congenital abnormality'>
<'biomedical or dental material', 'affects', 'mental process'>
<'tissue', 'issue in', 'biomedical occupation or discipline'>
<'nucleic acid nucleoside or nucleotide', 'causes', 'cell or molecular dysfunction'>
<'natural phenomenon or process', 'result of', 'disease or syndrome'>
<'finding', 'isa', 'conceptual entity'>
<'cell or molecular dysfunction', 'process of', 'mental or behavioral dysfunction'>
<'alga', 'interacts with', 'fish'>
<'vitamin', 'isa', 'physical object'>
<'plant', 'interacts with', 'amphibian'>
<'laboratory or test result', 'associated with', 'congenital abnormality'>
<'rickettsia or chlamydia', 'interacts with', 'reptile'>
<'organization', 'carries out', 'molecular biology research technique'>
<'bacterium', 'location of', 'enzyme'>
<'organism attribute', 'result of', 'natural phenomenon or process'>
<'therapeutic or preventive procedure', 'uses', 'clinical drug'>
<'injury or poisoning', 'result of', 'organism function'>
<'neoplastic process', 'issue in', 'occupation or discipline'>
<'pathologic function', 'degree of', 'mental or behavioral dysfunction'>
<'qualitative concept', 'evaluation of', 'daily or recreational activity'>
<'body part organ or organ component', 'location of', 'experimental model of disease'>
<'neoplastic process', 'complicates', 'anatomical abnormality'>
<'enzyme', 'affects', 'neoplastic process'>
<'molecular biology research technique', 'measures', 'temporal concept'>
<'hormone', 'affects', 'cell or molecular dysfunction'>
<'body part organ or organ component', 'part of', 'bird'>
<'governmental or regulatory activity', 'isa', 'occupational activity'>
<'tissue', 'location of', 'congenital abnormality'>
<'receptor', 'disrupts', 'cell function'>
<'molecular function', 'process of', 'pathologic function'>
<'acquired abnormality', 'manifestation of', 'cell function'>
<'hormone', 'affects', 'natural phenomenon or process'>
<'professional society', 'isa', 'conceptual entity'>
<'pathologic function', 'produces', 'biologically active substance'>
<'organic chemical', 'interacts with', 'pharmacologic substance'>
<'carbohydrate', 'interacts with', 'receptor'>
<'physiologic function', 'process of', 'virus'>
<'patient or disabled group', 'exhibits', 'individual behavior'>
<'group attribute', 'issue in', 'occupation or discipline'>
<'antibiotic', 'complicates', 'cell or molecular dysfunction'>
<'organ or tissue function', 'result of', 'genetic function'>
<'pharmacologic substance', 'treats', 'cell or molecular dysfunction'>
<'laboratory procedure', 'analyzes', 'immunologic factor'>
<'cell component', 'location of', 'molecular function'>
<'molecular biology research technique', 'isa', 'event'>
<'receptor', 'complicates', 'acquired abnormality'>
<'body part organ or organ component', 'location of', 'body location or region'>
<'embryonic structure', 'contains', 'body substance'>
<'neoplastic process', 'degree of', 'cell or molecular dysfunction'>
<'diagnostic procedure', 'uses', 'pharmacologic substance'>
<'fully formed anatomical structure', 'produces', 'nucleic acid nucleoside or nucleotide'>
<'cell', 'part of', 'reptile'>
<'educational activity', 'isa', 'occupational activity'>
<'lipid', 'causes', 'disease or syndrome'>
<'self help or relief organization', 'carries out', 'laboratory procedure'>
<'immunologic factor', 'indicates', 'mental or behavioral dysfunction'>
<'mental process', 'affects', 'experimental model of disease'>
<'disease or syndrome', 'result of', 'acquired abnormality'>
<'antibiotic', 'affects', 'genetic function'>
<'tissue', 'location of', 'organism function'>
<'organ or tissue function', 'conceptual part of', 'temporal concept'>
<'organ or tissue function', 'process of', 'organism function'>
<'biomedical or dental material', 'causes', 'pathologic function'>
<'vitamin', 'complicates', 'cell function'>
<'regulation or law', 'affects', 'professional society'>
<'group', 'performs', 'molecular biology research technique'>
<'tissue', 'part of', 'invertebrate'>
<'organic chemical', 'interacts with', 'eicosanoid'>
<'research activity', 'associated with', 'anatomical abnormality'>
<'cell component', 'part of', 'reptile'>
<'research activity', 'measures', 'element ion or isotope'>
<'disease or syndrome', 'precedes', 'neoplastic process'>
<'mental or behavioral dysfunction', 'produces', 'vitamin'>
<'cell or molecular dysfunction', 'affects', 'mental process'>
<'food', 'causes', 'anatomical abnormality'>
<'experimental model of disease', 'process of', 'mammal'>
<'vertebrate', 'isa', 'entity'>
<'mental process', 'affects', 'mammal'>
<'biologically active substance', 'disrupts', 'fully formed anatomical structure'>
<'chemical viewed functionally', 'interacts with', 'vitamin'>
<'bacterium', 'location of', 'receptor'>
<'antibiotic', 'disrupts', 'organism function'>
<'cell function', 'process of', 'reptile'>
<'gene or genome', 'part of', 'rickettsia or chlamydia'>
<'embryonic structure', 'location of', 'mental or behavioral dysfunction'>
<'molecular function', 'result of', 'mental or behavioral dysfunction'>
<'pharmacologic substance', 'disrupts', 'mental process'>
<'biomedical or dental material', 'affects', 'disease or syndrome'>
<'disease or syndrome', 'process of', 'organism function'>
<'pharmacologic substance', 'complicates', 'cell function'>
<'group attribute', 'property of', 'patient or disabled group'>
<'tissue', 'part of', 'amphibian'>
<'research activity', 'measures', 'pharmacologic substance'>
<'experimental model of disease', 'result of', 'health care activity'>
<'acquired abnormality', 'result of', 'pathologic function'>
<'experimental model of disease', 'result of', 'congenital abnormality'>
<'plant', 'isa', 'organism'>
<'cell', 'produces', 'vitamin'>
<'biologic function', 'process of', 'cell or molecular dysfunction'>
<'health care activity', 'affects', 'physiologic function'>
<'enzyme', 'disrupts', 'genetic function'>
<'organ or tissue function', 'affects', 'invertebrate'>
<'cell component', 'location of', 'bacterium'>
<'enzyme', 'affects', 'mental process'>
<'chemical viewed functionally', 'causes', 'anatomical abnormality'>
<'body part organ or organ component', 'part of', 'bacterium'>
<'molecular function', 'occurs in', 'temporal concept'>
<'individual behavior', 'associated with', 'pathologic function'>
<'temporal concept', 'conceptual part of', 'organ or tissue function'>
